name,city,lockdown_regulation
Sumida,Oshiage,1.0
Sumida,Kinshicho,1.0
Taito,Ueno,1.0
Bunkyo,Kasuga,1.0
Chiyoda,Akihabara,1.0
Chiyoda,Kanda,1.0
Chiyoda,Tokyo,1.0
Chiyoda,Ochanomizu,1.0
Chiyoda,Otemachi,1.0
Chiyoda,Kasumigaseki,1.0
Chiyoda,Kudanshita,1.0
Chiyoda,Kojimachi,1.0
Chiyoda,Iidabashi,1.0
Chuo,Nihonbashi,1.0
Chuo,Ginza,1.0
Minato,Shinbashi,1.0
Minato,Hamamatsucho,1.0
Minato,Tamachi,1.0
Minato,Shinagawa,1.0
Minato,Akasaka,1.0
Minato,Roppongi,1.0
Minato,Aoyama,1.0
Minato,Omotesando,1.0
Shinjuku,Yotsuya,1.0
Shinjuku,Shinjuku,1.0
Toshima,Ikebukuro,1.0
Shibuya,Harajuku,1.0
Shibuya,Shibuya,1.0
Shibuya,Ebisu,1.0
Shinagawa,Osaki,1.0
