from,to
Oshiage,Kinshicho
Oshiage,Ueno
Kinshicho,Oshiage
Kinshicho,Akihabara
Ueno,Oshiage
Ueno,Akihabara
Ueno,Ikebukuro
Kasuga,Ochanomizu
Kasuga,Iidabashi
Akihabara,Ueno
Akihabara,Kinshicho
Akihabara,Kanda,
Akihabara,Ochanomizu
Kanda,Akihabara
Kanda,Ochanomizu
Kanda,Tokyo
Tokyo,Kanda
Tokyo,Nihonbashi
Tokyo,Ginza
Tokyo,Shinbashi
Tokyo,Kasumigaseki
Tokyo,Otemachi
Ochanomizu,Akihabara
Ochanomizu,Kanda
Ochanomizu,Otemachi
Ochanomizu,Kudanshita
Ochanomizu,Iidabashi
Ochanomizu,Kasuga
Otemachi,Ochanomizu
Otemachi,Tokyo
Otemachi,Kudanshita
Kasumigaseki,Tokyo
Kasumigaseki,Akasaka
Kudanshita,Ochanomizu
Kudanshita,Otemachi
Kudanshita,Kojimachi
Kudanshita,Iidabashi
Kojimachi,Kudanshita
Kojimachi,Iidabashi
Nihonbashi,Ginza
Nihonbashi,Tokyo
Ginza,Nihonbashi
Ginza,Tokyo
Ginza,Shinbashi
Shinbashi,Tokyo
Shinbashi,Ginza
Shinbashi,Hamamatsucho
Hamamatsucho,Shinbashi
Hamamatsucho,Tamachi
Hamamatsucho,Roppongi
Tamachi,Hamamatsucho
Tamachi,Shinagawa
Shinagawa,Tamachi
Shinagawa,Osaki
Akasaka,Kasumigaseki
Akasaka,Roppongi
Akasaka,Aoyama
Roppongi,Akasaka
Roppongi,Hamamatsucho
Roppongi,Ebisu
Roppongi,Aoyama
Aoyama,Akasaka
Aoyama,Roppongi
Aoyama,Omotesando
Omotesando,Aoyama
Omotesando,Shibuya
Omotesando,Harajuku
Iidabashi,Kasuga
Iidabashi,Ochanomizu
Iidabashi,Kudanshita
Iidabashi,Kojimachi
Iidabashi,Yotsuya
Yotsuya,Iidabashi
Yotsuya,Shinjuku
Shinjuku,Ikebukuro
Shinjuku,Yotsuya
Shinjuku,Harajuku
Ikebukuro,Ueno
Ikebukuro,Shinjuku
Harajuku,Shinjuku
Harajuku,Omotesando
Harajuku,Shibuya
Shibuya,Omotesando
Shibuya,Ebisu
Shibuya,Harajuku
Ebisu,Roppongi
Ebisu,Osaki
Ebisu,Shibuya
Osaki,Shinagawa
Osaki,Ebisu
